# GTOC13 Solution File
# Created: 2025-11-11 17:53:30
# Units: epoch(s), position(km), velocity(km/s)
# Approximate Objective J: 112.554656
#
# Propagated Arc: Body 0 (heliocentric) from t=2.307819 years to t=60.177450 years
# control: radial
#    body_id   flag                epoch (s)              x (km)              y (km)              z (km)           vx (km/s)           vy (km/s)           vz (km/s)                  cx                  cy                  cz
           0      1   7.2829243207385302e+07  -2.99195741382e+10   2.12445943684e+09  -3.82289748082e+09   4.89107776929e+00   9.17612609276e-28  -9.07635410225e-30   9.89484419717e-01  -7.02590051369e-02   1.26428854835e-01
           0      1   9.0412422761042431e+07  -2.98335513000e+10   2.12445786329e+09  -3.82289464927e+09   4.89359838300e+00  -1.79235828517e-04   3.22529197511e-04   9.89424665874e-01  -7.04572844987e-02   1.26785652268e-01
           0      1   1.3132830568882400e+08  -2.96332045473e+10   2.12444190428e+09  -3.82286593154e+09   4.89951870058e+00  -6.02247220122e-04   1.08372480110e-03   9.89283641859e-01  -7.09229952040e-02   1.27623683934e-01
           0      1   1.9438473458799452e+08  -2.93239668860e+10   2.12438295697e+09  -3.82275985771e+09   4.90879605891e+00  -1.27085000678e-03   2.28685434289e-03   9.89060742308e-01  -7.16527812396e-02   1.28936910795e-01
           0      1   2.7794347620862138e+08  -2.89132704621e+10   2.12423865554e+09  -3.82250019186e+09   4.92138585717e+00  -2.18936676256e-03   3.93969615802e-03   9.88754526156e-01  -7.26431341639e-02   1.30719019520e-01
           0      1   3.7983948874717361e+08  -2.84109989510e+10   2.12395630810e+09  -3.82199211658e+09   4.93721508191e+00  -3.36252852523e-03   6.05076359915e-03   9.88363416165e-01  -7.38883105122e-02   1.32959674928e-01
           0      1   4.9743345291723359e+08  -2.78293052153e+10   2.12347756633e+09  -3.82113063594e+09   4.95616941938e+00  -4.79416401910e-03   8.62694633442e-03   9.87886135909e-01  -7.53793180054e-02   1.35642695695e-01
           0      1   6.2767964496455967e+08  -2.71823670924e+10   2.12274426335e+09  -3.81981108044e+09   4.97807727460e+00  -6.48540479636e-03   1.16702805562e-02   9.87322308151e-01  -7.71026584469e-02   1.38743792247e-01
           0      1   7.6720470963875139e+08  -2.64860977400e+10   2.12170527304e+09  -3.81794145029e+09   5.00269056996e+00  -8.43229684570e-03   1.51736511463e-02   9.86673251084e-01  -7.90388172750e-02   1.42227848745e-01
           0      1   9.1239499496821404e+08  -2.57578150683e+10   2.12032410774e+09  -3.81545608707e+09   5.02966308206e+00  -1.06227784741e-02   1.91153534701e-02   9.85942985848e-01  -8.11605594735e-02   1.46045856641e-01
           0      1   1.0594901312844626e+09  -2.50158729652e+10   2.11858677008e+09  -3.81232980296e+09   5.05852798182e+00  -1.30330904525e-02   2.34526335473e-02   9.85139433323e-01  -8.34311628072e-02   1.50131735437e-01
           0      1   1.2046804166139255e+09  -2.42792559831e+10   2.11650911131e+09  -3.80859112179e+09   5.08867746575e+00  -1.56238682833e-02   2.81146562110e-02   9.84275716888e-01  -8.58028155509e-02   1.54399449445e-01
           0      1   1.3442054812881169e+09  -2.35671384665e+10   2.11414264856e+09  -3.80433274701e+09   5.11934883597e+00  -1.83364384404e-02   3.29958403091e-02   9.83371397189e-01  -8.82155215035e-02   1.58741037403e-01
           0      1   1.4744516733354430e+09  -2.28984092364e+10   2.11157752633e+09  -3.79971689079e+09   5.14962280715e+00  -2.10901753220e-02   3.79511026242e-02   9.82453353282e-01  -9.05969668041e-02   1.63026372808e-01
           0      1   1.5920456375055029e+09  -2.22911646822e+10   2.10894119438e+09  -3.79497289493e+09   5.17844061046e+00  -2.37820863256e-02   4.27951112299e-02   9.81555920956e-01  -9.28638653833e-02   1.67105585015e-01
           0      1   1.6939416500440552e+09  -2.17621772504e+10   2.10639157987e+09  -3.79038494437e+09   5.20464579368e+00  -2.62899132836e-02   4.73078664248e-02   9.80719858776e-01  -9.49252470916e-02   1.70814976121e-01
           0      1   1.7775003916646821e+09  -2.13263533766e+10   2.10410421254e+09  -3.78626889930e+09   5.22705362160e+00  -2.84797504015e-02   5.12484089724e-02   9.79989808408e-01  -9.66879169498e-02   1.73986844711e-01
           0      1   1.8405568205638525e+09  -2.09962052667e+10   2.10225397098e+09  -3.78293944819e+09   5.24454524772e+00  -3.02183057216e-02   5.43768842156e-02   9.79410206874e-01  -9.80638629917e-02   1.76462816041e-01
           0      1   1.8814727034916344e+09  -2.07813829032e+10   2.10099373928e+09  -3.78067170116e+09   5.25617556543e+00  -3.13884612643e-02   5.64825420591e-02   9.79020099100e-01  -9.89787401742e-02   1.78109108560e-01
           0      1   1.8990558830452914e+09  -2.06889181320e+10   2.10043732585e+09  -3.77967045281e+09   5.26124346106e+00  -3.19019012269e-02   5.74064610125e-02   9.78848927906e-01  -9.93773967022e-02   1.78826478357e-01
# Flyby of Body 10 (PlanetX) at t=60.177450 years, v_inf=5.842779 km/s, E_final=8.652353 km²/s²
#    body_id   flag                epoch (s)              x (km)              y (km)              z (km)           vx (km/s)           vy (km/s)           vz (km/s)             v_inf_x             v_inf_y             v_inf_z
          10      1   1.8990558830452914e+09  -2.06889181320e+10   2.10043732585e+09  -3.77967045281e+09   5.26124346106e+00  -3.19019012269e-02   5.74064610125e-02   5.44661743725e+00   1.58796908858e+00   1.39670359260e+00
          10      1   1.8990558830452914e+09  -2.06889181320e+10   2.10043732585e+09  -3.77967045281e+09   4.93100999421e+00  -2.01508562875e+00   1.45435437070e+00   5.11638397040e+00  -3.95214638940e-01   2.79365150229e+00
# Propagated Arc: Body 0 (heliocentric) from t=60.177450 years to t=129.459488 years
# control: radial
